Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes
する,する,"1. to do, to carry out, to perform<br>2. to cause to become, to make (into), to turn (into)<br>3. to serve as, to act as, to work as<br>4. to wear (clothes, a facial expression, etc.)<br>5. to judge as being, to view as being, to think of as, to treat as, to use as<br>6. to decide on, to choose<br>7. to be sensed (of a smell, noise, etc.)<br>8. to be (in a state, condition, etc.)<br>9. to be worth, to cost<br>10. to pass (of time), to elapse<br>11. to place, or raise, person A to a post or status B<br>12. to transform A to B, to make A into B, to exchange A for B<br>13. to make use of A for B, to view A as B, to handle A as if it were B<br>14. to feel A about B<br>15. verbalizing suffix (applies to nouns noted in this dictionary with the part of speech ""vs"")<br>16. creates a humble verb (after a noun prefixed with ""o"" or ""go"")<br>17. to be just about to, to be just starting to, to try to, to attempt to",N5,888,みすみす　１ターンをムダに<b>する</b>とは！,"Misumisu, I can't believe I wasted one turn!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50, S01E51"
→,やじるし,"1. arrow (symbol)<br>2. (romantic) interest (for a certain person), direction (of one's attention, etc.)<br>3. Arrow (symbol)",Unlabeled,746,老人にはいつでも席を譲る<b>→</b>,Always offer your seat to an elderly person →,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50, S01E51"
ない,ない,Not / There is not (Negative auxiliary),Unlabeled,540,一度もお前に負けたことは<b>ない</b>。,I've never lost to you.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50, S01E51"
っす,っす,"1. be, is",Unlabeled,350,すごすぎるにも程がある<b>っす</b>！,It's too amazing!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E50, S01E51"
爆丸,爆丸,1. Bakugan Battle Brawlers,Unlabeled,286,多少は　<b>爆丸</b>にガタがきても当然。,It's only natural that Bakugan might be a little loose.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50, S01E51"
やる,やる,To do,N5,257,はっ　何度でも言って<b>やる</b>。,"Ha, I'll say it as many times as I want.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50, S01E51"
いる,いる,To be (animate) / -ing marker,Unlabeled,212,だが　勝つのは俺に決まって<b>いる</b>！,"However, I am certain that I will win!","S01E01, S01E02, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50, S01E51"
てる,てる,"1. to shine<br>2. to look slightly upward (of a noh mask; indicating joy, etc.)",Unlabeled,212,もう知っ<b>てる</b>と思うが　トーガ。,"I think you already know, Toga.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50, S01E51"
から,から,From / Because,Unlabeled,209,僕を上<b>から</b>　にらんでくるんだ。,It's staring at me from above.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50, S01E51"
この,きゅう,1. nine,N5,205,それじゃあ　今日は<b>この</b>へんで。,"Well then, that's it for today.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E20, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E30, S01E31, S01E32, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50, S01E51"
