Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes,Image
ない,ナイ,Not (Negative / Nonexistent),Unlabeled,178,でも　これはレンジが<b>ない</b>と,But this requires a microwave.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
する,シ,To do / To make,N5,173,それよりも　梓に何が<b>し</b>てやれるか,What can I do for Azusa instead?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
てる,テ,is... -ing (Contraction of te-iru),Unlabeled,126,噂の彼とは　どうなっ<b>て</b>んですか,What's going on with the rumored boyfriend?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
です,デス,To be (Polite Copula),Unlabeled,117,さすがにネス湖は遠い<b>です</b>ね,Loch Ness is really far away.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
何,なに,"1. what<br>2. you-know-what, that thing<br>3. whatsit, whachamacallit, what's-his-name, what's-her-name<br>4. (not) at all, (not) in the slightest<br>5. what?, huh?<br>6. hey!<br>7. oh, no (it's fine), why (it's nothing), oh (certainly not)",N5,93,それよりも　梓に<b>何</b>がしてやれるか,What can I do for Azusa instead?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ちゃん,チャン,Suffix for familiar names (Cute/Female),N4,84,憂<b>ちゃん</b>　ありがとう！,"Thank you, Yu-chan!",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
って,ッテ,"Topic Marker / Quotation (""You said.."")",Unlabeled,82,でも　かたく<b>って</b>,But it's hard,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
・,なかぐろ,"1. middle dot, centred period, full-stop mark at mid-character height, interpoint, symbol used for interword separation, between parallel terms, names in katakana, etc.<br>2. Interpunct",Unlabeled,72,私はジミ<b>・</b>ヘンとかジミー・ペイジが,I like Jimi Hen and Jimmy Page,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
から,カラ,From / Because,Unlabeled,71,すぐ何でも後回しにするんだ<b>から</b>,I immediately put everything off until later.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ます,マセ,Polite Sentence Ending (Verb Suffix),Unlabeled,65,あずにゃんのもとへ帰り<b>ます</b>ので,I'm going back to Azu-nyan.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
あず,あず,Azu,Unlabeled,63,<b>あず</b>にゃんのもとへ帰りますので,I'm going back to Azu-nyan.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
いい,よい,"1. good, excellent, fine, nice, pleasant, agreeable<br>2. sufficient, enough, ready, prepared<br>3. profitable (deal, business offer, etc.), beneficial<br>4. OK, all right, fine, no problem",N5,63,あずにゃんっぽいものが<b>いい</b>よね,I like something that looks like Azunyan.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
にゃん,にゃん,"1. meow, miaow<br>2. cat",Unlabeled,60,あず<b>にゃん</b>のもとへ帰りますので,I'm going back to Azu-nyan.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
私,わたし,"1. I, me",N5,57,<b>私</b>もやりたいです！,I want to do it too!,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
あッ,あっ,"1. ah, oh<br>2. hey!",Unlabeled,57,<b>あッ</b>　でも　その前に,"Ah, but before that",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
そう,そう,"1. appearing that, seeming that, looking like, having the appearance of",N4,54,<b>そう</b>いうのじゃないんです！,That's not what it's about!,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
行く,いく,"1. to go, to move (in a direction or towards a specific location), to head (towards), to be transported (towards), to reach<br>2. to proceed, to take place<br>3. to pass through, to come and go<br>4. to walk<br>5. to die, to pass away<br>6. to do (in a specific way)<br>7. to stream, to flow<br>8. to continue<br>9. to have an orgasm, to come, to cum<br>10. to trip, to get high, to have a drug-induced hallucination",N5,47,そんなにイギリスに<b>行き</b>たかったとは,I wanted to go to England so much,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ロンドン,ロンドン,Rondon,Unlabeled,45,<b>ロンドン</b>では自分でタクシーのドアを,"In London, you open your own taxi door",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
たい,タイ,Want to...,Unlabeled,41,見とき<b>たい</b>ものがあるんですが,There's something I'd like to see,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
唯,タダ,Yui,N3,41,もっかい　<b>唯</b>が飛ぶとこ見れるの？,Can we see Yui Mokkai fly?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
先輩,せんぱい,"1. senior (at work or school), superior, elder, older graduate, progenitor, old-timer",N4,40,澪<b>先輩</b>やムギ先輩はともかく,Aside from Mio-senpai and Mugi-senpai.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
どう,どう,"1. how, in what way, how about",N5,39,噂の彼とは　<b>どう</b>なってんですか,What's going on with the rumored boyfriend?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
けど,ケド,But / Although,Unlabeled,39,あります<b>けど</b>　私には学校が,"Yes, but I have school",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ちゃう,チャウ,To do completely / Regret (te-shimau),Unlabeled,36,もう軽音部は解散し<b>ちゃう</b>かも,Maybe the light music club will disband already.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
それ,ソレ,That one,N5,36,<b>それ</b>は寝るときの靴下の話！,It's about socks when you sleep!,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
こと,コト,Thing (Intangible) / Nominalizer,N4,35,役目を負う<b>こと</b>になるなんて＞,I can't believe I'm going to take on the role.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
梓,アズサ,Azusa,Unlabeled,33,それよりも　<b>梓</b>に何がしてやれるか,What can I do for Azusa instead?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ムギ,むぎ,"1. wheat, barley, oat (oats)",Unlabeled,31,元はといえば　<b>ムギ</b>ちゃんがお菓子,"Originally, Mugi-chan was the candy.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
なる,なる,"1. to become, to get, to grow, to be, to reach, to attain<br>2. to result in, to prove to be<br>3. to consist of, to be composed of<br>4. to succeed, to be complete<br>5. to change into, to be exchanged for<br>6. to play a role<br>7. to be promoted<br>8. to do ...",N5,31,役目を負うことに<b>なる</b>なんて＞,I can't believe I'm going to take on the role.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
