Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes
ない,ない,Not / There is not (Negative auxiliary),Unlabeled,610,残念だが 私の力ではどうすることもでき<b>ない</b>,"I'm sorry, but there's nothing I can do about it.","Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
する,する,"1. to do, to carry out, to perform<br>2. to cause to become, to make (into), to turn (into)<br>3. to serve as, to act as, to work as<br>4. to wear (clothes, a facial expression, etc.)<br>5. to judge as being, to view as being, to think of as, to treat as, to use as<br>6. to decide on, to choose<br>7. to be sensed (of a smell, noise, etc.)<br>8. to be (in a state, condition, etc.)<br>9. to be worth, to cost<br>10. to pass (of time), to elapse<br>11. to place, or raise, person A to a post or status B<br>12. to transform A to B, to make A into B, to exchange A for B<br>13. to make use of A for B, to view A as B, to handle A as if it were B<br>14. to feel A about B<br>15. verbalizing suffix (applies to nouns noted in this dictionary with the part of speech ""vs"")<br>16. creates a humble verb (after a noun prefixed with ""o"" or ""go"")<br>17. to be just about to, to be just starting to, to try to, to attempt to",N5,578,残念だが 私の力ではどう<b>する</b>こともできない,"I'm sorry, but there's nothing I can do about it.","Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
です,です,Be (Polite Copula),Unlabeled,306,でッ でも お姉ちゃんは やるときには やる人<b>です</b>,"But when it comes time to do something, my sister is the one who does it.","Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
てる,てる,"1. to shine<br>2. to look slightly upward (of a noh mask; indicating joy, etc.)",Unlabeled,284,先生のときは おしとやかキャラで通すっ<b>て</b>決めてたのに,"When I was a teacher, I decided to pass as a ladylike character.","Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
私,わたし,"1. I, me",N5,259,残念だが <b>私</b>の力ではどうすることもできない,"I'm sorry, but there's nothing I can do about it.","Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
から,から,From / Because,Unlabeled,244,アンプで音をならすのは もう少しして<b>から</b>だね,I'll wait a little while before I can play the sound with the amp.,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
ッ,ッ,1. Wow (Auto-translated),Unlabeled,234,で<b>ッ</b> でも お姉ちゃんは やるときには やる人です,"But when it comes time to do something, my sister is the one who does it.","Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
ちゃん,ちゃん,1. suffix for familiar person,N4,231,あとは 和<b>ちゃん</b>にも渡さないと,I also have to give it to Kazu-chan.,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
ます,ます,Polite verb suffix,Unlabeled,203,まさか 軽音部にこんな危機が訪れるとは 思ってい<b>ませ</b>んでした,I never thought that such a crisis would come to the light music club.,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
って,って,"1. you said, he said, she said, they said<br>2. if ... then<br>3. do you seriously think that<br>4. I already told you, you should know by now that, of course<br>5. the said ..., said ...<br>6. says that ...<br>7. I hear that ...<br>8. as for the term ...<br>9. as for ...",Unlabeled,182,「ご一緒にポテトも いかがですか？」<b>って</b>言われるの,"People ask me, ``Would you like some fries with your meal?''","Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
何,なに,"1. what<br>2. you-know-what, that thing<br>3. whatsit, whachamacallit, what's-his-name, what's-her-name<br>4. (not) at all, (not) in the slightest<br>5. what?, huh?<br>6. hey!<br>7. oh, no (it's fine), why (it's nothing), oh (certainly not)",N5,181,とにかく 楽器がないと <b>何</b>も始まらないしな,"Anyway, nothing would start without an instrument.","Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
いい,いい,Good,N5,172,このまま唯には休んでおいてもらった方が<b>いい</b>のかも,Maybe it's better to just let Yui rest like this.,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
あッ,あッ,1. Ah (Auto-translated),Unlabeled,168,<b>あッ</b> 澪には他のことやってもらってる,"Ah, I have Mio do other things.","Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
そう,そう,"1. appearing that, seeming that, looking like, having the appearance of",N4,167,能ある鷹は<b>そう</b>　見えないとこにピック隠すんです,A talented hawk hides his pick somewhere out of sight.,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
澪,ミオ,Mio,Unlabeled,146,あッ <b>澪</b>には他のことやってもらってる,"Ah, I have Mio do other things.","Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode13, Episode14"
いる,いる,To be (animate) / -ing marker,Unlabeled,138,まさか 軽音部にこんな危機が訪れるとは 思って<b>い</b>ませんでした,I never thought that such a crisis would come to the light music club.,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
ある,ある,To be (inanimate),N5,133,聞けば誰でも感動する理由が<b>ある</b>んだぞ！,"If you listen to it, everyone will have a reason to be moved!","Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
じゃ,じゃあ,"1. then, well, so, well then<br>2. be, is",N5,133,ちゃんと活動計画を立てた方がいいん<b>じゃ</b>ないか？,Wouldn't it be better to make a proper activity plan?,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
なる,なる,To become,N5,128,まず このくらいは できるように<b>なら</b>ないとな,"First of all, I need to be able to do this much.","Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
唯,ユイ,Yui,N3,127,このまま<b>唯</b>には休んでおいてもらった方がいいのかも,Maybe it's better to just let Yui rest like this.,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
けど,けど,But / Although,Unlabeled,117,中学のとき 私が熱を出して しばらく休んでたんだ<b>けど</b>,"When I was in middle school, I had a fever and took a break for a while.","Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
やる,やる,To do,N5,116,でッ でも お姉ちゃんは <b>やる</b>ときには やる人です,"But when it comes time to do something, my sister is the one who does it.","Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
じゃあ,じゃあ,"1. then, well, so, well then<br>2. be, is",N5,109,<b>じゃあ</b> 海にする？ それとも～,"So, should we go to the sea? Or...","Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
こと,こと,Thing (intangible) / Nominalizer,N4,106,でも ウチの部に入ろうと思ったって<b>こと</b>は,But the fact that I wanted to join our club means that,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
これ,これ,"1. this, this one<br>2. this person<br>3. now, this point (in time)<br>4. here<br>5. used to stress the subject of a sentence<br>6. I, me",N5,103,<b>これ</b>で澪も恥ずかしがりを克服できそうだな,I think Mio will be able to overcome her shyness with this.,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
それ,それ,"1. that, it<br>2. then, that point (in time), that time<br>3. there<br>4. you",N5,103,<b>それ</b>は軽音部のためでもあるのに,It's also for the light music section.,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
どう,どう,"1. how, in what way, how about",N5,98,残念だが 私の力では<b>どう</b>することもできない,"I'm sorry, but there's nothing I can do about it.","Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
くる,くる,To come,Unlabeled,94,わ<b>き</b>目もふらずに 練習に打ち込んできたなんて とても言えないけど,I can't really say that I devoted myself to practice without worrying about it.,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
でも,でも,"1. but, however, though, nevertheless, still, yet, even so, also, as well<br>2. even<br>3. however, no matter how, even if, even though<br>4. ... or something<br>5. either ... or ..., neither ... nor ...<br>6. pseudo-, quack, in-name-only<br>7. for lack of anything better to do",N5,91,<b>でも</b> ウチの部に入ろうと思ったってことは,But the fact that I wanted to join our club means that,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
みんな,みんな,"1. everyone, everybody, all<br>2. everything, all",N5,91,１日でも早く練習して <b>みんな</b>と一緒に演奏したいもん,I want to practice as early as possible and play with everyone.,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
