Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes
ない,ない,Not / There is not (Negative auxiliary),Unlabeled,1625,もうそんなこと<b>ない</b>ですから！,That doesn't happen anymore!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
する,する,"1. to do, to carry out, to perform<br>2. to cause to become, to make (into), to turn (into)<br>3. to serve as, to act as, to work as<br>4. to wear (clothes, a facial expression, etc.)<br>5. to judge as being, to view as being, to think of as, to treat as, to use as<br>6. to decide on, to choose<br>7. to be sensed (of a smell, noise, etc.)<br>8. to be (in a state, condition, etc.)<br>9. to be worth, to cost<br>10. to pass (of time), to elapse<br>11. to place, or raise, person A to a post or status B<br>12. to transform A to B, to make A into B, to exchange A for B<br>13. to make use of A for B, to view A as B, to handle A as if it were B<br>14. to feel A about B<br>15. verbalizing suffix (applies to nouns noted in this dictionary with the part of speech ""vs"")<br>16. creates a humble verb (after a noun prefixed with ""o"" or ""go"")<br>17. to be just about to, to be just starting to, to try to, to attempt to",N5,1256,がりをバカに<b>する</b>な！,Don't make fun of Gari!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
です,です,Be (Polite Copula),Unlabeled,909,何と言ってもコミケ<b>でしょ</b>う！,"After all, it's Comiket!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
てる,てる,"1. to shine<br>2. to look slightly upward (of a noh mask; indicating joy, etc.)",Unlabeled,820,でも 見<b>てる</b>と自分が,"But when I look at it, I see myself","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
って,って,"1. you said, he said, she said, they said<br>2. if ... then<br>3. do you seriously think that<br>4. I already told you, you should know by now that, of course<br>5. the said ..., said ...<br>6. says that ...<br>7. I hear that ...<br>8. as for the term ...<br>9. as for ...",Unlabeled,743,<b>って</b>ことは かがみとつかさも,That means Kagami and Tsukasa too.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
から,から,From / Because,Unlabeled,628,もうそんなことないです<b>から</b>！,That doesn't happen anymore!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
ます,ます,Polite verb suffix,Unlabeled,565,でも 田舎には帰ると思い<b>ます</b>,But I think I'll go back to the countryside.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
けど,けど,But / Although,Unlabeled,531,白いごはんには もちろんだ<b>けど</b>,"For white rice, of course.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
そう,そう,"1. appearing that, seeming that, looking like, having the appearance of",N4,504,はっ うん！ <b>そう</b>かも！,"Yes, yes! Maybe so!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
私,わたし,"1. I, me",N5,487,いやあ <b>私</b>もずっと胸がないのを,"Well, I haven't had any breasts for a long time either.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
