Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes
ない,ない,Not / There is not (Negative auxiliary),Unlabeled,404,お願い！　パパをとら<b>ない</b>で！,please! Don't take my dad!,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
する,する,"1. to do, to carry out, to perform<br>2. to cause to become, to make (into), to turn (into)<br>3. to serve as, to act as, to work as<br>4. to wear (clothes, a facial expression, etc.)<br>5. to judge as being, to view as being, to think of as, to treat as, to use as<br>6. to decide on, to choose<br>7. to be sensed (of a smell, noise, etc.)<br>8. to be (in a state, condition, etc.)<br>9. to be worth, to cost<br>10. to pass (of time), to elapse<br>11. to place, or raise, person A to a post or status B<br>12. to transform A to B, to make A into B, to exchange A for B<br>13. to make use of A for B, to view A as B, to handle A as if it were B<br>14. to feel A about B<br>15. verbalizing suffix (applies to nouns noted in this dictionary with the part of speech ""vs"")<br>16. creates a humble verb (after a noun prefixed with ""o"" or ""go"")<br>17. to be just about to, to be just starting to, to try to, to attempt to",N5,322,とにかく先にゴール<b>し</b>たヤツが勝ちだ！,"In any case, the first person to reach the goal wins!","#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
≪,≪,1. ≪ (Auto-translated),Unlabeled,286,<b>≪</b>そっちには鉄骨が！,≪There's a steel frame over there!,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
俺,おれ,"1. I, me",N1,230,普通に滑っても<b>俺</b>は速いんだよ！,"Even if I skate normally, I'm fast!","#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
てる,てる,"1. to shine<br>2. to look slightly upward (of a noh mask; indicating joy, etc.)",Unlabeled,201,スケートは　足もつながっ<b>て</b>ないのに,"When skating, your legs aren't even connected.","#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
—,サリャルカ,1. Saryarka — Steppe and Lakes of Northern Kazakhstan,Unlabeled,194,こんなスケートができたときは<b>—</b>,When you can skate like this...,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
愛,あい,"1. love, affection, care<br>2. attachment, craving, desire<br>3. agape<br>4. Ireland",N3,191,あなたが<b>愛</b>を取り戻すためには—,In order for you to get love back -,"#03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
から,から,From / Because,Unlabeled,186,父さんが死んで<b>から</b>は,After my father died,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
って,って,"1. you said, he said, she said, they said<br>2. if ... then<br>3. do you seriously think that<br>4. I already told you, you should know by now that, of course<br>5. the said ..., said ...<br>6. says that ...<br>7. I hear that ...<br>8. as for the term ...<br>9. as for ...",Unlabeled,176,今日は愛抱夢が来る<b>って</b>！,A love dream is coming today!,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
じゃ,じゃあ,"1. then, well, so, well then<br>2. be, is",N5,155,自分を大事にするのは悪いこと<b>じゃ</b>ない,It's not bad to take care of yourself,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
