Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes
する,する,"1. to do, to carry out, to perform<br>2. to cause to become, to make (into), to turn (into)<br>3. to serve as, to act as, to work as<br>4. to wear (clothes, a facial expression, etc.)<br>5. to judge as being, to view as being, to think of as, to treat as, to use as<br>6. to decide on, to choose<br>7. to be sensed (of a smell, noise, etc.)<br>8. to be (in a state, condition, etc.)<br>9. to be worth, to cost<br>10. to pass (of time), to elapse<br>11. to place, or raise, person A to a post or status B<br>12. to transform A to B, to make A into B, to exchange A for B<br>13. to make use of A for B, to view A as B, to handle A as if it were B<br>14. to feel A about B<br>15. verbalizing suffix (applies to nouns noted in this dictionary with the part of speech ""vs"")<br>16. creates a humble verb (after a noun prefixed with ""o"" or ""go"")<br>17. to be just about to, to be just starting to, to try to, to attempt to",N5,390,地球を侵略<b>し</b>に来たとでも？,Do you think they came to invade Earth?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
ない,ない,Not / There is not (Negative auxiliary),Unlabeled,376,人に風邪もうつせ<b>なかっ</b>たクズが！,The scum that couldn't give anyone a cold!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
てる,てる,"1. to shine<br>2. to look slightly upward (of a noh mask; indicating joy, etc.)",Unlabeled,214,いつも 夏は遊びに来<b>てる</b>でしょ？,"You always come to visit us in the summer, right?","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
から,から,From / Because,Unlabeled,169,ほんとに誰でもいい<b>から</b>,It really can be anyone.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
私,わたし,"1. I, me",N5,167,<b>私</b>が本気を出せば何でもできる！,"If I put my mind to it, I can do anything!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
何,なに,"1. what<br>2. you-know-what, that thing<br>3. whatsit, whachamacallit, what's-his-name, what's-her-name<br>4. (not) at all, (not) in the slightest<br>5. what?, huh?<br>6. hey!<br>7. oh, no (it's fine), why (it's nothing), oh (certainly not)",N5,159,私が本気を出せば<b>何</b>でもできる！,"If I put my mind to it, I can do anything!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
あっ,あっ,"1. ah, oh<br>2. hey!",N3,142,<b>あっ</b> ほんとに来た！,"Ah, it really came!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
いい,いい,Good,N5,125,ほんとに誰でも<b>いい</b>から,It really can be anyone.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
いる,いる,To be (animate) / -ing marker,Unlabeled,125,道は途中で二手に分かれて<b>い</b>て―,The road splits into two in the middle...,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
こと,こと,Thing (intangible) / Nominalizer,N4,111,なぜ私は ここでこんな<b>こと</b>を？,Why am I doing this here?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
なる,なる,To become,N5,107,でも 気分転換には<b>なっ</b>たかな,But I guess it was a change of pace.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
って,って,"1. you said, he said, she said, they said<br>2. if ... then<br>3. do you seriously think that<br>4. I already told you, you should know by now that, of course<br>5. the said ..., said ...<br>6. says that ...<br>7. I hear that ...<br>8. as for the term ...<br>9. as for ...",Unlabeled,105,もう 気にする<b>って</b>の！,You already care!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
ああ,ああ,"1. ah!, oh!, alas!<br>2. yes, indeed, that is correct<br>3. aah, gah, argh<br>4. hey!, yo!<br>5. uh huh, yeah yeah, right, gotcha",N4,103,<b>ああ</b> 取引先の人にもらってね,"Oh, get it from your business partner.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
ちゃん,ちゃん,1. suffix for familiar person,N4,101,ゆう<b>ちゃん</b>にも自慢できる,I can be proud of Yu-chan too.,"S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12"
やる,やる,To do,N5,95,本当に帰り<b>や</b>がった！,I really wanted to go home!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
じゃ,じゃあ,"1. then, well, so, well then<br>2. be, is",N5,88,別に変態とか<b>じゃ</b>なくて！,I'm not a pervert or anything!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
そう,そう,"1. appearing that, seeming that, looking like, having the appearance of",N4,88,あとちょっとで溢れ<b>そう</b>！,It's going to be overflowing in a little while!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
ます,ます,Polite verb suffix,Unlabeled,86,本当にすみ<b>ませ</b>んでした！,I'm so sorry!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
これ,これ,"1. this, this one<br>2. this person<br>3. now, this point (in time)<br>4. here<br>5. used to stress the subject of a sentence<br>6. I, me",N5,78,<b>これ</b>で ゆうちゃんに話すネタが,Now I have something to tell Yu-chan.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
人,じん,"1. -ian (e.g. Italian), -ite (e.g. Tokyoite)<br>2. -er (e.g. performer, etc.), person working with ...<br>3. man, person, people",N5,78,<b>人</b>に風邪もうつせなかったクズが！,The scum that couldn't give anyone a cold!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
この,きゅう,1. nine,N5,76,といっても <b>この</b>世界に入るまで,"However, until I entered this world","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
です,です,Be (Polite Copula),Unlabeled,76,いつも 夏は遊びに来てる<b>でしょ</b>？,"You always come to visit us in the summer, right?","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
くる,くる,To come,Unlabeled,73,いっつも隣に座って<b>くる</b>男が,The man who always sits next to me,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
うん,うん,"1. yes, yeah, uh huh<br>2. hum, hmmm, well, erm, huh?<br>3. oof",N4,71,<b>うん</b> 電車に乗るときは,"Yeah, when I get on the train","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
ある,ある,To be (inanimate),N5,70,私も読んだこと<b>ある</b>！,I've read it too!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
れる,れる,Passive/Potential form,Unlabeled,68,男に言い寄ら<b>れ</b>たこともある,I was once approached by a man,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
けど,けど,But / Although,Unlabeled,67,<b>けど</b> 本当に これでいいのか？,But is this really okay?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
行く,いく,"1. to go, to move (in a direction or towards a specific location), to head (towards), to be transported (towards), to reach<br>2. to proceed, to take place<br>3. to pass through, to come and go<br>4. to walk<br>5. to die, to pass away<br>6. to do (in a specific way)<br>7. to stream, to flow<br>8. to continue<br>9. to have an orgasm, to come, to cum<br>10. to trip, to get high, to have a drug-induced hallucination",N5,64,私がいるんだから 別のとこ<b>行け</b>よ,"I'm here, so go somewhere else.","S01E01, S01E02, S01E03, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12"
いや,ほんけ,"1. head house (family), birthplace, originator",Unlabeled,63,<b>いや</b> でも ロリ好きには,"No, but for loli lovers","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
どう,どう,"1. how, in what way, how about",N5,59,では <b>どう</b>やって今のトーク力を？,So how do you get your current talking power?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12"
言う,いう,"1. to say, to utter, to declare<br>2. to name, to call<br>3. to go (e.g. ""the alarm went ping""), to make a noise",N5,57,<b>言っ</b>とくが 風邪はうつっても,"Let me tell you, even if you catch a cold","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
来る,くる,"1. to come (spatially or temporally), to approach, to arrive<br>2. to come back, to do ... and come back<br>3. to come to be, to become, to get, to grow, to continue<br>4. to come from, to be caused by, to derive from<br>5. to come to (i.e. ""when it comes to spinach ..."")",N5,54,地球を侵略しに<b>来</b>たとでも？,Do you think they came to invade Earth?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
でも,でも,"1. but, however, though, nevertheless, still, yet, even so, also, as well<br>2. even<br>3. however, no matter how, even if, even though<br>4. ... or something<br>5. either ... or ..., neither ... nor ...<br>6. pseudo-, quack, in-name-only<br>7. for lack of anything better to do",N5,52,私が本気を出せば何<b>でも</b>できる！,"If I put my mind to it, I can do anything!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
たい,たい,Want to...,Unlabeled,52,ちょっとでも痴漢され<b>たい</b>と思った,I wanted to be molested even just a little bit.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
ゆう,ゆう,"1. to do up (hair), to dress, to arrange<br>2. to tie, to bind, to fasten, to make (a fence)",Unlabeled,52,<b>ゆう</b>ちゃんにも自慢できる,I can be proud of Yu-chan too.,"S01E02, S01E03, S01E04, S01E05, S01E06, S01E08, S01E09, S01E11, S01E12"
じゃあ,じゃあ,"1. then, well, so, well then<br>2. be, is",N5,50,<b>じゃあ</b> いつ食べるの？ 今でしょ！,So when are you going to eat? Right now!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11"
