Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes,Image
です,デス,To be (Polite Copula),Unlabeled,754,ノンノンノン そんな心差しの低いことではダメ<b>です</b> 狙うは優勝 優勝の場合さらに飲み台がおごりになります 焼肉もか,"Nonnonnon It's no good to do such a low-minded thing.The goal is to win.If you win, you'll get a drink table.Yakiniku, too.","Episode 01 - Miss Yukari, Episode 02 - Osaka Day, Episode 02 - Osaka Day_retimed, Episode 03 - Nyamo, Episode 04 - Pool Pool Pool, Episode 05 - Summer Break, Episode 06 - Sports Fest, Episode 07 - Culture Fest, Episode 08 - New Years Dream Special, Episode 09 - Miss Sakaki, Episode 10 - We are 2nd Year Students, Episode 11 - Kagura and Sakaki, Episode 12 - Chiyo-chans Day, Episode 13 - Exams, Episode 14 - The Ocean Kimonos and Party, Episode 15 - Sports Fest 2nd Year, Episode 16 - Culture Fest 2nd Year, Episode 17 - End of 2nd Semester and Christmas, Episode 19 - One Spring Night, Episode 20 - 3rd Year, Episode 21 - School Trip, Episode 22 - Entrance Exams Study, Episode 23 - Last Sports Fest, Episode 24 - Yamamayaa, Episode 25 - Onwards Entrance Exams, Episode 26 - Graduation Ceremony","<img src=""Azumanga Daioh - Episode 15 - Sports Fest 2nd Year_00_02_10_000.jpg"">"
する,シ,To do / To make,N5,707,今年も文化祭が近づいてきま<b>し</b>た 文化祭は何をしたらいいですか 喫茶店 お化け屋敷 またですか えっと,The school festival is approaching again this year. What should we do during the school festival? Coffee shop Haunted house again?,"Episode 01 - Miss Yukari, Episode 02 - Osaka Day, Episode 02 - Osaka Day_retimed, Episode 03 - Nyamo, Episode 04 - Pool Pool Pool, Episode 05 - Summer Break, Episode 06 - Sports Fest, Episode 07 - Culture Fest, Episode 08 - New Years Dream Special, Episode 09 - Miss Sakaki, Episode 10 - We are 2nd Year Students, Episode 11 - Kagura and Sakaki, Episode 12 - Chiyo-chans Day, Episode 13 - Exams, Episode 14 - The Ocean Kimonos and Party, Episode 15 - Sports Fest 2nd Year, Episode 16 - Culture Fest 2nd Year, Episode 17 - End of 2nd Semester and Christmas, Episode 18 - Koyomis Ordeals, Episode 19 - One Spring Night, Episode 20 - 3rd Year, Episode 21 - School Trip, Episode 22 - Entrance Exams Study, Episode 23 - Last Sports Fest, Episode 24 - Yamamayaa, Episode 25 - Onwards Entrance Exams, Episode 26 - Graduation Ceremony","<img src=""Azumanga Daioh - Episode 16 - Culture Fest 2nd Year_00_01_42_000.jpg"">"
ない,ナイ,Not (Negative / Nonexistent),Unlabeled,642,他のクラスには絶対真似でき<b>ない</b>ことをしよう このクラスにあって 予想にないもの,Let's do something that no other class can imitate. Something that is unexpected in this class.,"Episode 01 - Miss Yukari, Episode 02 - Osaka Day, Episode 02 - Osaka Day_retimed, Episode 03 - Nyamo, Episode 04 - Pool Pool Pool, Episode 05 - Summer Break, Episode 06 - Sports Fest, Episode 07 - Culture Fest, Episode 08 - New Years Dream Special, Episode 09 - Miss Sakaki, Episode 10 - We are 2nd Year Students, Episode 11 - Kagura and Sakaki, Episode 12 - Chiyo-chans Day, Episode 13 - Exams, Episode 14 - The Ocean Kimonos and Party, Episode 15 - Sports Fest 2nd Year, Episode 16 - Culture Fest 2nd Year, Episode 17 - End of 2nd Semester and Christmas, Episode 19 - One Spring Night, Episode 20 - 3rd Year, Episode 21 - School Trip, Episode 22 - Entrance Exams Study, Episode 23 - Last Sports Fest, Episode 24 - Yamamayaa, Episode 25 - Onwards Entrance Exams, Episode 26 - Graduation Ceremony","<img src=""Azumanga Daioh - Episode 16 - Culture Fest 2nd Year_00_04_12_000.jpg"">"
てる,てる,is... -ing (Contraction of te-iru),Unlabeled,491,でもまあそうは言っても日頃から 宿題とか真面目にやっ<b>てる</b>真面目子さんたちには簡単なもんだからね,"But even so, it's easy for serious kids who do their homework seriously.","Episode 01 - Miss Yukari, Episode 02 - Osaka Day, Episode 02 - Osaka Day_retimed, Episode 03 - Nyamo, Episode 04 - Pool Pool Pool, Episode 05 - Summer Break, Episode 06 - Sports Fest, Episode 07 - Culture Fest, Episode 08 - New Years Dream Special, Episode 09 - Miss Sakaki, Episode 10 - We are 2nd Year Students, Episode 11 - Kagura and Sakaki, Episode 12 - Chiyo-chans Day, Episode 13 - Exams, Episode 14 - The Ocean Kimonos and Party, Episode 15 - Sports Fest 2nd Year, Episode 16 - Culture Fest 2nd Year, Episode 17 - End of 2nd Semester and Christmas, Episode 18 - Koyomis Ordeals, Episode 19 - One Spring Night, Episode 20 - 3rd Year, Episode 21 - School Trip, Episode 22 - Entrance Exams Study, Episode 23 - Last Sports Fest, Episode 24 - Yamamayaa, Episode 25 - Onwards Entrance Exams, Episode 26 - Graduation Ceremony","<img src=""Azumanga Daioh - Episode 13 - Exams_00_01_53_000.jpg"">"
ます,ます,Polite verb ending,Unlabeled,471,ではもう一度文化祭の出し物について話したいと思い<b>ます</b> まず目安箱を見てみます,"Now, I would like to talk about the cultural festival performances again. First, let's take a look at the guide box.","Episode 01 - Miss Yukari, Episode 02 - Osaka Day, Episode 02 - Osaka Day_retimed, Episode 03 - Nyamo, Episode 04 - Pool Pool Pool, Episode 05 - Summer Break, Episode 06 - Sports Fest, Episode 07 - Culture Fest, Episode 08 - New Years Dream Special, Episode 09 - Miss Sakaki, Episode 10 - We are 2nd Year Students, Episode 11 - Kagura and Sakaki, Episode 12 - Chiyo-chans Day, Episode 13 - Exams, Episode 14 - The Ocean Kimonos and Party, Episode 15 - Sports Fest 2nd Year, Episode 16 - Culture Fest 2nd Year, Episode 17 - End of 2nd Semester and Christmas, Episode 19 - One Spring Night, Episode 20 - 3rd Year, Episode 21 - School Trip, Episode 22 - Entrance Exams Study, Episode 23 - Last Sports Fest, Episode 24 - Yamamayaa, Episode 25 - Onwards Entrance Exams, Episode 26 - Graduation Ceremony","<img src=""Azumanga Daioh - Episode 07 - Culture Fest_00_03_53_000.jpg"">"
って,って,"Quotation particle / ""They say..."" / Topic marker",Unlabeled,410,それでもここにいる<b>って</b>ことは,The fact that I'm still here,"Episode 01 - Miss Yukari, Episode 02 - Osaka Day, Episode 02 - Osaka Day_retimed, Episode 03 - Nyamo, Episode 04 - Pool Pool Pool, Episode 05 - Summer Break, Episode 06 - Sports Fest, Episode 07 - Culture Fest, Episode 08 - New Years Dream Special, Episode 09 - Miss Sakaki, Episode 10 - We are 2nd Year Students, Episode 11 - Kagura and Sakaki, Episode 12 - Chiyo-chans Day, Episode 13 - Exams, Episode 14 - The Ocean Kimonos and Party, Episode 15 - Sports Fest 2nd Year, Episode 16 - Culture Fest 2nd Year, Episode 17 - End of 2nd Semester and Christmas, Episode 19 - One Spring Night, Episode 20 - 3rd Year, Episode 21 - School Trip, Episode 22 - Entrance Exams Study, Episode 23 - Last Sports Fest, Episode 24 - Yamamayaa, Episode 25 - Onwards Entrance Exams, Episode 26 - Graduation Ceremony","<img src=""Azumanga Daioh - Episode 13 - Exams_00_20_35_000.jpg"">"
ちゃん,チャン,Suffix for familiar names (Cute/Female),N4,398,とも<b>ちゃん</b>とヨミちゃんのことは忘れへんで,I can't forget about Tomo-chan and Yomi-chan.,"Episode 01 - Miss Yukari, Episode 02 - Osaka Day, Episode 02 - Osaka Day_retimed, Episode 03 - Nyamo, Episode 04 - Pool Pool Pool, Episode 05 - Summer Break, Episode 06 - Sports Fest, Episode 07 - Culture Fest, Episode 08 - New Years Dream Special, Episode 09 - Miss Sakaki, Episode 10 - We are 2nd Year Students, Episode 11 - Kagura and Sakaki, Episode 12 - Chiyo-chans Day, Episode 13 - Exams, Episode 14 - The Ocean Kimonos and Party, Episode 15 - Sports Fest 2nd Year, Episode 16 - Culture Fest 2nd Year, Episode 17 - End of 2nd Semester and Christmas, Episode 19 - One Spring Night, Episode 20 - 3rd Year, Episode 21 - School Trip, Episode 22 - Entrance Exams Study, Episode 23 - Last Sports Fest, Episode 24 - Yamamayaa, Episode 25 - Onwards Entrance Exams, Episode 26 - Graduation Ceremony","<img src=""Azumanga Daioh - Episode 03 - Nyamo_00_16_15_000.jpg"">"
から,カラ,From / Because,Unlabeled,365,まあ人生には別れ道がたくさんある<b>から</b> ついつい迷い込んでしまいますよと,"Well, there are so many parting ways in life that it's easy to get lost.","Episode 01 - Miss Yukari, Episode 02 - Osaka Day, Episode 02 - Osaka Day_retimed, Episode 03 - Nyamo, Episode 04 - Pool Pool Pool, Episode 05 - Summer Break, Episode 06 - Sports Fest, Episode 07 - Culture Fest, Episode 08 - New Years Dream Special, Episode 09 - Miss Sakaki, Episode 10 - We are 2nd Year Students, Episode 11 - Kagura and Sakaki, Episode 12 - Chiyo-chans Day, Episode 13 - Exams, Episode 14 - The Ocean Kimonos and Party, Episode 15 - Sports Fest 2nd Year, Episode 16 - Culture Fest 2nd Year, Episode 17 - End of 2nd Semester and Christmas, Episode 19 - One Spring Night, Episode 20 - 3rd Year, Episode 21 - School Trip, Episode 22 - Entrance Exams Study, Episode 23 - Last Sports Fest, Episode 24 - Yamamayaa, Episode 25 - Onwards Entrance Exams, Episode 26 - Graduation Ceremony","<img src=""Azumanga Daioh - Episode 04 - Pool Pool Pool_00_01_54_000.jpg"">"
さん,サン,Suffix for names (Mr./Ms.),N5,329,大阪<b>さん</b>は本当にそういうことをやりそうな気がします,I feel like Osaka-san would really do something like that.,"Episode 01 - Miss Yukari, Episode 02 - Osaka Day, Episode 02 - Osaka Day_retimed, Episode 03 - Nyamo, Episode 04 - Pool Pool Pool, Episode 05 - Summer Break, Episode 06 - Sports Fest, Episode 07 - Culture Fest, Episode 08 - New Years Dream Special, Episode 09 - Miss Sakaki, Episode 10 - We are 2nd Year Students, Episode 11 - Kagura and Sakaki, Episode 12 - Chiyo-chans Day, Episode 13 - Exams, Episode 14 - The Ocean Kimonos and Party, Episode 15 - Sports Fest 2nd Year, Episode 16 - Culture Fest 2nd Year, Episode 17 - End of 2nd Semester and Christmas, Episode 19 - One Spring Night, Episode 20 - 3rd Year, Episode 21 - School Trip, Episode 22 - Entrance Exams Study, Episode 23 - Last Sports Fest, Episode 24 - Yamamayaa, Episode 25 - Onwards Entrance Exams, Episode 26 - Graduation Ceremony","<img src=""Azumanga Daioh - Episode 12 - Chiyo-chans Day_00_12_28_000.jpg"">"
私,わたし,I / Me,N5,314,<b>私</b>は耳を塞いで飲むといいと聞いたことがある,I've heard that it's good to drink with your ears covered.,"Episode 01 - Miss Yukari, Episode 02 - Osaka Day, Episode 02 - Osaka Day_retimed, Episode 03 - Nyamo, Episode 04 - Pool Pool Pool, Episode 05 - Summer Break, Episode 06 - Sports Fest, Episode 07 - Culture Fest, Episode 08 - New Years Dream Special, Episode 09 - Miss Sakaki, Episode 10 - We are 2nd Year Students, Episode 11 - Kagura and Sakaki, Episode 12 - Chiyo-chans Day, Episode 13 - Exams, Episode 14 - The Ocean Kimonos and Party, Episode 15 - Sports Fest 2nd Year, Episode 16 - Culture Fest 2nd Year, Episode 17 - End of 2nd Semester and Christmas, Episode 18 - Koyomis Ordeals, Episode 19 - One Spring Night, Episode 20 - 3rd Year, Episode 21 - School Trip, Episode 22 - Entrance Exams Study, Episode 23 - Last Sports Fest, Episode 24 - Yamamayaa, Episode 25 - Onwards Entrance Exams, Episode 26 - Graduation Ceremony","<img src=""Azumanga Daioh - Episode 02 - Osaka Day_00_12_49_000.jpg"">"
