Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes,Image,WordAudio,SentenceAudio
する,シ,To do / To make,N5,523,でも 大人になれば 利用<b>する</b>ことになるんだよ 肉食は,"But when you grow up, you start using meat.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_67003f87.mp3],[sound:Beastars_sent_9ddb4ad8.mp3]
ない,ナイ,Not (Negative / Nonexistent),Unlabeled,518,まあ さすがにオオカミとウサギで 何か起きるってことは<b>ない</b>だろう,"Well, I don't think anything will happen between the wolf and the rabbit.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_599114cc.mp3],[sound:Beastars_sent_f60e720d.mp3]
てる,てる,is... -ing (Contraction of te-iru),Unlabeled,278,爪は いつも切っ<b>てる</b>んですけど 翌日には もうとがってて,"I always cut my nails, but the next day they were already sharp.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_c3137e1f.mp3],[sound:Beastars_sent_2e4b8e33.mp3]
俺,おれ,I / Me (Masculine),N1,267,肉食のお前たちが <b>俺</b>を本気で襲いに来ること,You meat eaters are seriously coming to attack me.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_1b923795.mp3],[sound:Beastars_sent_e1785a95.mp3]
から,カラ,From / Because,Unlabeled,235,僕は これ<b>から</b>も お前を疑ったり 気持ち悪がったりとか,I'll continue to doubt you and feel bad about you.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_99855338.mp3],[sound:Beastars_sent_0bd9a29e.mp3]
こと,コト,Thing (Intangible) / Nominalizer,N4,216,肉食のお前たちが 俺を本気で襲いに来る<b>こと</b>,You meat eaters are seriously coming to attack me.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_2ab01f1e.mp3],[sound:Beastars_sent_e1785a95.mp3]
です,デショ,To be (Polite Copula),Unlabeled,207,爪は いつも切ってるん<b>です</b>けど 翌日には もうとがってて,"I always cut my nails, but the next day they were already sharp.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_36c7185f.mp3],[sound:Beastars_sent_2e4b8e33.mp3]
って,って,"Quotation particle / ""They say..."" / Topic marker",Unlabeled,198,まあ さすがにオオカミとウサギで 何か起きる<b>って</b>ことはないだろう,"Well, I don't think anything will happen between the wolf and the rabbit.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_c313903e.mp3],[sound:Beastars_sent_f60e720d.mp3]
何,なに,What,N5,195,まあ さすがにオオカミとウサギで <b>何</b>か起きるってことはないだろう,"Well, I don't think anything will happen between the wolf and the rabbit.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_3265cdd0.mp3],[sound:Beastars_sent_f60e720d.mp3]
いる,いる,"1. to be (of animate objects), to exist<br>2. to stay<br>3. to be ...-ing, to have been ...-ing",Unlabeled,160,僕たちが生きて<b>いる</b>この世界は とても複雑です,This world we live in is very complex.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_da884372.mp3],[sound:Beastars_sent_cc0ff2b5.mp3]
