Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes,Image
ない,ナク,Not (Negative / Nonexistent),Unlabeled,901,もうっ 私に 付きまとわ<b>ない</b>でください！,Please don't follow me anymore!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
です,デス,To be (Polite Copula),Unlabeled,743,私は もっと 普通が いいん<b>です</b>！,I prefer normal!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
する,スリャ,To do / To make,N5,720,私が用意<b>し</b>たワナを ここまで完璧にかいくぐるとは―,I didn't expect you to completely evade the trap I prepared for you...,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
てる,てる,is... -ing (Contraction of te-iru),Unlabeled,554,尻尾は もっと サラサラし<b>てる</b>！,The tail is even smoother!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
から,カラ,From / Because,Unlabeled,476,なのは はかせが嫌いだ<b>から</b> ネギとかで意地悪して！,"Nanoha doesn't like Hakase, so she's mean to him with green onions!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
あっ,あっ,"1. ah, oh<br>2. hey!",N3,438,入部 したいんですが <b>あっ</b>！,I want to join the club. Ah!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
ます,ます,Polite verb ending,Unlabeled,437,はい どーも すみ<b>ませ</b>んでした！,"Yes, I'm sorry!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
って,って,"Quotation particle / ""They say..."" / Topic marker",Unlabeled,424,はあ？ バカ<b>って</b>言ったほうが バカでしょ　この バカ！,"Huh? It would be more stupid to call you an idiot, you idiot!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
何,なに,What,N5,377,べつに あんたなんか <b>何</b>とも思っていないんだから！,I don't really care about you!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
いい,よい,"1. good, excellent, fine, nice, pleasant, agreeable<br>2. sufficient, enough, ready, prepared<br>3. profitable (deal, business offer, etc.), beneficial<br>4. OK, all right, fine, no problem",N5,285,私は もっと 普通が <b>いい</b>んです！,I prefer normal!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
