Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes,Image
ない,ナク,Not (Negative / Nonexistent),Unlabeled,1812,といっても 他人を自由に操ることはでき<b>ない</b>,"However, you cannot freely manipulate others.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
する,シ,To do / To make,N5,1665,知ったうえでも 他人が 人を判断<b>する</b>ことは間違ってるよ！,It's wrong for others to judge others even after knowing!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
てる,てる,is... -ing (Contraction of te-iru),Unlabeled,989,知ったうえでも 他人が 人を判断することは間違っ<b>てる</b>よ！,It's wrong for others to judge others even after knowing!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
何,なに,What,N5,779,僕は <b>何</b>て すばらしいものを 手に入れてしまったんだ！,What a wonderful thing I have acquired!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
から,カラ,From / Because,Unlabeled,710,アイツを私の美貌で“おっふ”と 言わせてやるんだ<b>から</b>！,"I'll make him say ""Oof"" with my beauty!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
僕,ぼく,I / Me (Male pronoun),N4,582,<b>僕</b>は自由に この体を変化させることができる,I can freely change this body,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
いる,いる,"1. to be (of animate objects), to exist<br>2. to stay<br>3. to be ...-ing, to have been ...-ing",Unlabeled,574,武勇伝を自分で語る奴には ろくな奴が<b>い</b>ねえ！,There are no bad guys out there who tell their own tales of heroism!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
こと,コト,Thing (Intangible) / Nominalizer,N4,515,知ったうえでも 他人が 人を判断する<b>こと</b>は間違ってるよ！,It's wrong for others to judge others even after knowing!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
ある,ある,"1. to be, to exist, to live<br>2. to have<br>3. to be located<br>4. to be equipped with<br>5. to happen, to come about",N5,457,実は 私にも 人にはない能力が<b>あり</b> その力で師匠の存在を知りました,"Actually, I have an ability that other people don't have, and through that ability, I learned about the existence of my master.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
この,この,This (Demonstrative),N5,434,僕は自由に <b>この</b>体を変化させることができる,I can freely change this body,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
って,って,"Quotation particle / ""They say..."" / Topic marker",Unlabeled,421,同じ長さの割り箸を引いた者同士が ペア<b>って</b>ことで！,People who pull disposable chopsticks of the same length are called a pair!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
なる,なる,"1. to become, to get, to grow, to be, to reach, to attain<br>2. to result in, to prove to be<br>3. to consist of, to be composed of<br>4. to succeed, to be complete<br>5. to change into, to be exchanged for<br>6. to play a role<br>7. to be promoted<br>8. to do ...",N5,420,幽霊が オレの目と<b>なり</b>耳となれば 手に入らない情報はない！,"If ghosts become my eyes and ears, there's no information I can't get!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
これ,コレ,This one,N5,412,<b>これ</b>で なんとか 朝までには終われそうだ！,I think I'll be able to finish this by morning!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
斉木,斉木,Saeki,Unlabeled,399,だが <b>斉木</b>の前で カッコ悪ィところ 見せるわけには いかねェ！,But I can't show off my uncool side in front of Saiki!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
いい,よい,"1. good, excellent, fine, nice, pleasant, agreeable<br>2. sufficient, enough, ready, prepared<br>3. profitable (deal, business offer, etc.), beneficial<br>4. OK, all right, fine, no problem",N5,399,まぁ <b>いい</b>わ！ 私にはプランＢがある！,"Well, okay! I have a plan B!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
やる,やる,"1. to do, to undertake, to perform, to play (a game), to study<br>2. to send, to dispatch, to despatch<br>3. to put, to move, to turn (one's head, glance, etc.)<br>4. to give (esp. to someone of equal or lower status), to let have, to present, to bestow, to confer<br>5. to make (a vehicle) go faster<br>6. to run (a business), to keep, to be engaged in, to practice (law, medicine, etc.), to practise<br>7. to have (food, drink, etc.), to eat, to drink, to smoke<br>8. to hold (a performance), to perform, to show<br>9. to ease (one's mind)<br>10. to harm, to injure, to kill<br>11. to have sex with<br>12. to live, to get by, to get along<br>13. to do ... completely<br>14. to do ... broadly, to do ... to a great distance<br>15. to do ... for (someone of equal or lower status), to do ... to (sometimes with negative nuance)<br>16. to make active efforts to ...",N5,391,まずは貴様を しょうが漬けにして<b>やる</b>ジャー！,"First, I'll pickle you in ginger!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
ます,ます,Polite verb ending,Unlabeled,384,実は 私にも 人にはない能力があり その力で師匠の存在を知り<b>まし</b>た,"Actually, I have an ability that other people don't have, and through that ability, I learned about the existence of my master.","S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
そう,そう,So / That way / Seeming,N4,369,これで なんとか 朝までには終われ<b>そう</b>だ！,I think I'll be able to finish this by morning!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
それ,ソレ,That one,N5,356,我々は <b>それ</b>がとても憎い！,We hate it so much!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
君,きみ,"1. you, buddy, pal<br>2. monarch, ruler, sovereign, (one's) master",N4,339,何であろうと 燃堂<b>君</b>との勝負は 絶対に勝～つ！,"No matter what, I'll definitely win the battle with Nendou-kun!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E20, S01E21, S01E22, S01E23, S01E24",
さん,サン,Suffix for names (Mr./Ms.),N5,336,手足には拘束具を取り付けた 蝶野<b>さん</b>が箱へ！,"Mr. Chono, with restraints attached to his hands and feet, goes to the box!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
です,デス,To be (Polite Copula),Unlabeled,316,確かにご家族の反対もある<b>でしょう</b> 特に男性は！,"There will certainly be some opposition from your family, especially men!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
どう,どう,"1. how, in what way, how about",N5,304,“実は 先生に <b>どう</b>しても伝えたいことがあって”,"“Actually, there is something I really want to tell my teacher.”","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
やれ,やれ,"1. oh!, ah!, oh dear!, dear me!, thank God!",Unlabeled,296,<b>やれ</b>やれ よくもここまで 掃除をせずに 放っておいたもんだ,It's a good thing I left it here without cleaning it.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
お前,おまえ,"1. you<br>2. presence (of a god, nobleman, etc.)",Unlabeled,295,<b>お前</b>も 顔のほとぼりが冷めるまで ここにいるんだな,You too will stay here until the water on your face cools down.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
言う,いう,"1. to say, to utter, to declare<br>2. to name, to call<br>3. to go (e.g. ""the alarm went ping""), to make a noise",N5,294,オレの<b>言う</b>こと何でも聞くように 調教して下さい！,Please train me to listen to everything I say!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
れる,レ,Passive / Potential Form,Unlabeled,294,何の変哲もない糸電話に 偶然性を 介入することで生み出さ<b>れ</b>た―,Created by adding chance to an ordinary string telephone.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
くる,くる,"1. to come (spatially or temporally), to approach, to arrive<br>2. to come back, to do ... and come back<br>3. to come to be, to become, to get, to grow, to continue<br>4. to come from, to be caused by, to derive from<br>5. to come to (i.e. ""when it comes to spinach ..."")",Unlabeled,265,こんな店とも呼べない所に 連れて<b>くる</b>なんて ありえないわ！,There's no way I'd bring you to a place like this that can't even be called a store!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
来る,くる,"1. to come (spatially or temporally), to approach, to arrive<br>2. to come back, to do ... and come back<br>3. to come to be, to become, to get, to grow, to continue<br>4. to come from, to be caused by, to derive from<br>5. to come to (i.e. ""when it comes to spinach ..."")",N5,255,なにぃ!? ２人とも指導室まで<b>来い</b>！,"What!? Both of you, come to the instruction room!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
ねえ,ねえ,Hey! / Look! / (seeking agreement) / No / Not (Slang negative),Unlabeled,247,武勇伝を自分で語る奴には ろくな奴がい<b>ねえ</b>！,There are no bad guys out there who tell their own tales of heroism!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
もう,もう,"1. now, soon, shortly, before long, presently<br>2. already, yet, by now, (not) anymore<br>3. further, more, again, another, the other<br>4. tsk, dammit, jeez, come on, what the hell",N5,246,あの２人と付き合うのは <b>もう</b>やめなさい！,Stop dating those two!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
行く,いく,"1. to go, to move (in a direction or towards a specific location), to head (towards), to be transported (towards), to reach<br>2. to proceed, to take place<br>3. to pass through, to come and go<br>4. to walk<br>5. to die, to pass away<br>6. to do (in a specific way)<br>7. to stream, to flow<br>8. to continue<br>9. to have an orgasm, to come, to cum<br>10. to trip, to get high, to have a drug-induced hallucination",N5,243,問題は 玄関に<b>行く</b>まで！,The problem is until you get to the front door!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
見る,みる,"1. to see, to look, to watch, to view, to observe<br>2. to examine, to look over, to assess, to check, to judge<br>3. to look after, to attend to, to take care of, to keep an eye on<br>4. to experience, to meet with (misfortune, success, etc.)<br>5. to try ..., to have a go at ..., to give ... a try<br>6. to see (that) ..., to find (that) ...",N5,240,漫画は たまに読んでるのを <b>見</b>たことはあるが,I've seen you read manga once in a while.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
