Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes,Image
する,シ,To do / To make,N5,425,じゃあ お前は 地球を侵略<b>し</b>に来たとでも？,So you're saying you came to invade Earth?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
ない,ナイ,Not (Negative / Nonexistent),Unlabeled,347,泣いてるのがバレる前に 何か面白いこと言わ<b>ない</b>と！,I need to say something interesting before I find out you're crying!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
てる,てる,is... -ing (Contraction of te-iru),Unlabeled,261,泣い<b>てる</b>のがバレる前に 何か面白いこと言わないと！,I need to say something interesting before I find out you're crying!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
何,なに,What,N5,218,私が本気を出せば<b>何</b>でもできる！,"If I put my mind to it, I can do anything!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
から,カラ,From / Because,Unlabeled,194,でも 女に 縁がない顔してる<b>から</b>―,But he has a face that has no connection to women...,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
私,わたし,I / Me,N5,167,<b>私</b>が本気を出せば何でもできる！,"If I put my mind to it, I can do anything!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
って,って,"Quotation particle / ""They say..."" / Topic marker",Unlabeled,157,いや 引きこもりだ<b>って</b> 親とは会話できるだろ,"No, even if you're a shut-in, you can still talk to your parents.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
いい,よい,"1. good, excellent, fine, nice, pleasant, agreeable<br>2. sufficient, enough, ready, prepared<br>3. profitable (deal, business offer, etc.), beneficial<br>4. OK, all right, fine, no problem",N5,136,仮に処女喪失がこんなに痛かったら 一生 処女で<b>いい</b>わ～！,"If losing my virginity was this painful, I'd stay a virgin for the rest of my life!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
あっ,あっ,"1. ah, oh<br>2. hey!",N3,119,<b>あっ</b> 次は マンモスフューチャーに 行くのが効率いいかも,"Ah, it might be more efficient to go to Mammoth Future next time.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
こと,コト,Thing (Intangible) / Nominalizer,N4,113,新しい歴史を 作る<b>こと</b>はできるが―,"We can create a new history, but...","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
いる,いる,"1. to be (of animate objects), to exist<br>2. to stay<br>3. to be ...-ing, to have been ...-ing",Unlabeled,102,確かに 私のことが クラスでささやかれては<b>い</b>たが―,It's true that people were whispering about me in class...,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
そう,そう,So / That way / Seeming,N4,102,<b>そう</b>いう冗談は 小学生までにしといてくれよ,Please leave jokes like that to elementary school students.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
ああ,ああ,"1. ah!, oh!, alas!<br>2. yes, indeed, that is correct<br>3. aah, gah, argh<br>4. hey!, yo!<br>5. uh huh, yeah yeah, right, gotcha",N4,96,<b>ああ</b> もう 何考えてるの あんたは！,"Oh, what are you thinking already?","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
なる,なる,"1. to become, to get, to grow, to be, to reach, to attain<br>2. to result in, to prove to be<br>3. to consist of, to be composed of<br>4. to succeed, to be complete<br>5. to change into, to be exchanged for<br>6. to play a role<br>7. to be promoted<br>8. to do ...",N5,94,ストレスで 胃がハチの巣に<b>なる</b>わーっ！,My stomach turns into a beehive from stress!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
やる,やる,"1. to do, to undertake, to perform, to play (a game), to study<br>2. to send, to dispatch, to despatch<br>3. to put, to move, to turn (one's head, glance, etc.)<br>4. to give (esp. to someone of equal or lower status), to let have, to present, to bestow, to confer<br>5. to make (a vehicle) go faster<br>6. to run (a business), to keep, to be engaged in, to practice (law, medicine, etc.), to practise<br>7. to have (food, drink, etc.), to eat, to drink, to smoke<br>8. to hold (a performance), to perform, to show<br>9. to ease (one's mind)<br>10. to harm, to injure, to kill<br>11. to have sex with<br>12. to live, to get by, to get along<br>13. to do ... completely<br>14. to do ... broadly, to do ... to a great distance<br>15. to do ... for (someone of equal or lower status), to do ... to (sometimes with negative nuance)<br>16. to make active efforts to ...",N5,93,一日中 看病して<b>やっ</b>たのに 人に風邪もうつせなかったクズが！,This scumbag couldn't even give anyone a cold even though I took care of him all day!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
これ,コレ,This one,N5,90,<b>これ</b>はね 山で遭難したとき 毒キノコを判別してくれる発明だよ,This is an invention that helps you identify poisonous mushrooms when you're lost in the mountains.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
ます,ます,Polite verb ending,Unlabeled,89,正午過ぎには35度を超え 今年13度目の猛暑日となり<b>まし</b>た,"The temperature exceeded 35 degrees just after noon, making it the 13th hottest day of the year.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
ちゃん,チャン,Suffix for familiar names (Cute/Female),N4,83,ゆう<b>ちゃん</b>に話せる 充実した女子高生生活を送る！,You can talk to Yu-chan about living a fulfilling life as a high school girl!,"S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12",
この,この,This (Demonstrative),N5,78,傘をとるようなヤツが <b>この</b>学校にいるんだ,There's a guy in this school who takes umbrellas.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
です,デス,To be (Polite Copula),Unlabeled,78,いつも 夏は遊びに来てる<b>でしょ</b>？,"You always come to visit us in the summer, right?","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
うん,うん,Yeah / Yes (casual),N4,75,<b>うん</b> ちょっとケツを もみほぐされただけだから 大丈夫,"Yeah, I just had my ass massaged a little bit, so it's okay.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
ある,ある,"1. to be, to exist, to live<br>2. to have<br>3. to be located<br>4. to be equipped with<br>5. to happen, to come about",N5,69,“風刺文学は短命で<b>ある</b>”と 言っているが それはなぜか？,Why is it said that satirical literature is short-lived?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
行く,いく,"1. to go, to move (in a direction or towards a specific location), to head (towards), to be transported (towards), to reach<br>2. to proceed, to take place<br>3. to pass through, to come and go<br>4. to walk<br>5. to die, to pass away<br>6. to do (in a specific way)<br>7. to stream, to flow<br>8. to continue<br>9. to have an orgasm, to come, to cum<br>10. to trip, to get high, to have a drug-induced hallucination",N5,69,あっ 次は マンモスフューチャーに <b>行く</b>のが効率いいかも,"Ah, it might be more efficient to go to Mammoth Future next time.","S01E01, S01E02, S01E03, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12",
けど,ケド,But / Although,Unlabeled,69,クラスでは なじめない<b>けど</b> 才能を持った女子がいて―,"There's a girl in my class who doesn't fit in, but has talent...","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
いや,ひ,"1. no, the noes",Unlabeled,68,<b>いや</b> 引きこもりだって 親とは会話できるだろ,"No, even if you're a shut-in, you can still talk to your parents.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
それ,ソレ,That one,N5,66,“風刺文学は短命である”と 言っているが <b>それ</b>はなぜか？,Why is it said that satirical literature is short-lived?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
どう,どう,"1. how, in what way, how about",N5,65,今更 過去を悔やんだところで <b>どう</b>しようもない,There's nothing I can do about regretting the past now.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12",
れる,レ,Passive / Potential Form,Unlabeled,65,確かに 私のことが クラスでささやか<b>れ</b>てはいたが―,It's true that people were whispering about me in class...,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
ねえ,ねえ,Hey! / Look! / (seeking agreement) / No / Not (Slang negative),Unlabeled,58,言っとくが 風邪はうつっても すぐには かかん<b>ねえ</b>ぞ,"I'm telling you, even if you catch a cold, it won't catch you right away.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
もう,もう,"1. now, soon, shortly, before long, presently<br>2. already, yet, by now, (not) anymore<br>3. further, more, again, another, the other<br>4. tsk, dammit, jeez, come on, what the hell",N5,57,昼間 注文したものが<b>もう</b>届くとは,"During the day, I can't believe what I ordered has already arrived.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
言う,いう,"1. to say, to utter, to declare<br>2. to name, to call<br>3. to go (e.g. ""the alarm went ping""), to make a noise",N5,56,<b>言っ</b>とくが 風邪はうつっても すぐには かかんねえぞ,"I'm telling you, even if you catch a cold, it won't catch you right away.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
いう,いう,"1. to say, to utter, to declare<br>2. to name, to call<br>3. to go (e.g. ""the alarm went ping""), to make a noise",Unlabeled,54,何で オッサンと<b>いう</b>生き物は あんなに説教が好きなんだ？,Why do old men like preaching so much?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12",
来る,くる,"1. to come (spatially or temporally), to approach, to arrive<br>2. to come back, to do ... and come back<br>3. to come to be, to become, to get, to grow, to continue<br>4. to come from, to be caused by, to derive from<br>5. to come to (i.e. ""when it comes to spinach ..."")",N5,53,じゃあ お前は 地球を侵略しに<b>来</b>たとでも？,So you're saying you came to invade Earth?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
くる,くる,"1. to come (spatially or temporally), to approach, to arrive<br>2. to come back, to do ... and come back<br>3. to come to be, to become, to get, to grow, to continue<br>4. to come from, to be caused by, to derive from<br>5. to come to (i.e. ""when it comes to spinach ..."")",Unlabeled,52,いっつも隣に座って<b>くる</b>男が いるんだけど～,There's a guy who always comes to sit next to me...,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
ゆう,ゆう,Yuu,Unlabeled,52,<b>ゆう</b>ちゃんに話せる 充実した女子高生生活を送る！,You can talk to Yu-chan about living a fulfilling life as a high school girl!,"S01E02, S01E03, S01E04, S01E05, S01E06, S01E08, S01E09, S01E11, S01E12",
じゃあ,で,"1. coming out, going out, outflow, efflux, rising (of the Sun or the Moon)<br>2. attending (work), appearing (on stage), one's turn to go on<br>3. start, beginning<br>4. origins, background, person (or item) originating from ..., graduate of ..., native of ..., member of ... (lineage)<br>5. architectural member that projects outward<br>6. highest point of the stern of a ship<br>7. amount (comprising something), amount of time or effort required to do something",N5,49,<b>じゃあ</b> お前は 地球を侵略しに来たとでも？,So you're saying you came to invade Earth?,"S01E01, S01E02, S01E03, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11",
こっち,こちら,"1. this way, this direction<br>2. here<br>3. this (one)<br>4. I, me, we, us<br>5. this person",N5,49,も<b>こっち</b>～！ ありがとう～！,Mokocchi~! Thank you!,"S01E02, S01E03, S01E04, S01E06, S01E08, S01E09, S01E11, S01E12",
